"site_code","latitude","longitude","impervious_500","canopy_500","dist_wetland_m","summer_ndvi_500","habitat_PC1","habitat_PC2"
"Site 224",40.72952,-111.842,46.23340961,13.59267735,431.762947,0.420682594717692,-1.83859441442082,-1.00048186615618
"Site 229",40.72961,-111.8832,60.49543379,8.10159817,1620.122752,0.329610702911594,-2.60983417031593,1.26422764439154
"Site 230",40.75283,-111.8981,77.80526919,1.13631157,1666.545195,0.139558233858889,-1.72917423763487,3.2394159369726
"Site 027",40.84601,-112.0292,0,0.72013652,49.10989,0.267318622873453,1.35053664179969,-0.299628647616029
"Site 005",40.77869,-112.0285,66.87256028,1.89437428,256.01638,0.144634231799244,-0.0309843300159862,1.65557685660504
"Site 029",40.82646,-111.944,12.88045977,0.8862069,99.37458,0.277767111002804,0.977373437463256,-0.142883810133094
"Site 052",40.82629,-112.114,0.0733945,0,97.435354,0.118104518766085,1.81612430765745,0.806996837144488
"Site 051",40.79484,-112.1224,0,0.04257768,6.161008,0.231981028584582,1.57431686324223,-0.0623342797670253
"Site 028",40.80214,-112.0502,1.49771167,0.8993135,2.306166,0.379125391790178,1.01856174045098,-1.09663973134795
"Site 024",40.80667,-112.0169,1.48571429,0,42.316157,0.372286290043045,1.08859517356556,-0.963154875004572
"Site 022",40.82995,-111.9861,0,0.07542857,2.69842,0.194285209128111,1.68731884526465,0.190364795571817
"Site 226",40.70586,-111.8067,35.19173364,13.37772675,446.037359,0.460367800585041,-1.72002651269954,-1.40876150860003
"Site 037",40.74035,-112.0295,37.24426606,0,114.135883,0.120934888149496,1.01311617500398,1.34949315489651
"Site 211",40.73089,-111.8572,57.31307339,13.88646789,159.657045,0.362573608710964,-1.62524181543814,-0.716237211600509
"Site 009",40.84177,-111.9702,1.74514286,0,142.070971,0.268396798431933,1.28284941073102,-0.15359077302204
"Site 062",40.85203,-112.0495,0.35779817,0.38302752,1.555219,0.258111229700745,1.4584308795107,-0.258596580846644
"Site 032",40.77237,-111.92,67.71917808,2.48173516,488.87506,0.192452390920919,-0.510902272793901,1.53167786309724
"Site 212",40.76429,-111.8761,72.85681558,6.34478809,1585.372123,0.200621339966801,-2.26103521353593,2.38974366074126
"Site 218",40.72365,-111.8227,52.1443299,15.04696449,987.734015,0.398494185774525,-2.66379394567958,-0.30949342366463
"Site 214",40.77633,-111.899,61.82857143,8.43771429,1167.04092,0.299963658416194,-2.08173614053241,1.03550966494925
"Site 220",40.72236,-111.8601,65.64497717,5.94178082,84.34348,0.253356764566097,-0.561516786658769,0.511003297737941
"Site 219",40.78159,-111.8648,33.68463303,12.5837156,568.973687,0.448625660689491,-1.70706453469332,-1.1901795821464
"Site 215",40.75003,-111.8613,53.53608247,16.99885452,589.419372,0.382913660274464,-2.40805169275469,-0.668664352993671
"Site 231",40.75233,-111.9184,51.4696449,6.36082474,246.430741,0.353709405499333,-0.788699942782017,-0.251272572698097
"Site 213",40.74086,-111.8912,71.06314581,3.89322618,1323.791739,0.220941511626783,-1.73872527879308,2.10721228126529
"Site 049",40.76891,-112.0833,5.68505747,0,137.844969,0.204368113379036,1.39651412956494,0.338097642971604
"Site 033",40.72765,-111.9318,30.88597491,1.48004561,6.720649,0.475956523369189,0.0503856014411641,-1.35443401641195
"Site 054",40.78768,-112.0633,6.26887872,0.22997712,0,0.33090480910902,1.13528464363494,-0.662791393449783
"Site 025",40.7933,-112.0121,2.29485714,0.456,7.472113,0.315215873558077,1.23326961304928,-0.618958098145469
"Site 222",40.71084,-111.8593,53.40045767,12.74713959,440.002183,0.380358686966609,-1.78880711811552,-0.565839084087546
"Site 026",40.83095,-112.0315,0.11481056,0.44546498,13.582225,0.185155710653467,1.66155640435371,0.244856029874434
"Site 003",40.84209,-111.9534,13.44228571,0.50742857,19.405664,0.324324088902532,0.954742875802006,-0.508914734533892
"Site 209",40.74992,-111.8133,31.37485714,8.152,38.997891,0.426203106794755,-0.542338519176229,-1.33724280756933
"Site 035",40.816,-112.1015,2.19284065,0,0,0.166298598270639,1.73597836003862,0.41546113586743
"Site 053",40.82411,-112.0691,0,0,9.835195,0.232205137456413,1.57401056687601,-0.0580525655703038
"Site 060",40.7475,-111.9676,68.80344828,0.50804598,289.726633,0.111011033744536,0.136222807107512,2.02109700238045
"Site 057",40.86989,-112.0234,0,0.40549828,9.299432,0.255662134130679,1.4622863240312,-0.240920637770502
"Site 030",40.72782,-112.0458,11.902746,0.0228833,13.031359,0.191684876535059,1.44060345113808,0.395667995374139
"Site 063",40.87117,-111.9813,0.11683849,0.05154639,28.692687,0.25913012576798,1.46487187276898,-0.225238703589217
"Site 221",40.7104,-111.8727,43.07297605,7.91790194,2.303313,0.448666764802215,-0.78857185169985,-1.34144867206509
"Site 065",40.81327,-112.059,1.82163406,1.28423475,0,0.431596718540374,0.817525411137654,-1.47374442602707
"Site 056",40.84586,-111.9821,0.44930876,0.27073733,39.450388,0.245446332127318,1.46402787761925,-0.12836327428392
"Site 059",40.75484,-112.0388,40.18922018,0.02293578,258.559624,0.132107147816582,0.755726048887968,1.45307455629266
"Site 023",40.82204,-112.0151,1.592,0.71885714,4.264554,0.433925673254505,0.869556234585338,-1.45837290538348
"Site 061",40.80095,-112.0845,16.55263158,0.08924485,179.025625,0.264640078164708,0.934646917515429,0.12003964469642
"Site 001",40.81567,-111.9423,40.40435281,2.19014891,20.207972,0.37588382174509,0.0615923206562363,-0.555836807137037
"Site 227",40.79305,-111.9259,50.38787185,5.71624714,753.599138,0.33705091227004,-1.21157404223464,0.366164212275878
"Site 031",40.80014,-111.9373,30.25,4.53325688,92.709026,0.480587177394553,-0.363711238939482,-1.47852286150744
"Site 004",40.84446,-112.0031,2.11670481,0.48855835,4.78287,0.156651843160947,1.71016060945273,0.458442837629154
"Site 066",40.8415,-112.0741,0.07454128,0.25917431,12.103556,0.242066350560177,1.51347643384534,-0.136252918379935
"Site 228",40.7643,-111.862,57.00918485,16.50401837,1395.988406,0.354308464998362,-3.23794345029345,0.375291842013538
"Site 064",40.81654,-111.9558,31.0137931,0.20804598,173.790897,0.257727251780088,0.646803862168028,0.368262090065539
"Site 050",40.78437,-112.109,0,0.1137931,1.460794,0.210418510074682,1.63650774700529,0.0767778395325837
"Site 223",40.71525,-111.8472,46.53933865,12.11630559,647.644712,0.407174584826212,-1.89016218048894,-0.617475177513494
"Site 207",40.74222,-111.8755,47.5837156,11.42545872,142.535062,0.411693095552562,-1.2933592185988,-1.07820533659493
"Site 058",40.75424,-112.0036,52.74512055,0.65442021,2.436689,0.141931733551539,0.682445236641914,1.29142646013702
"Site 225",40.73872,-111.8373,44.66475973,16.17391304,50.000145,0.466254794431733,-1.78763278388605,-1.83957137344118
"Site 034",40.77153,-111.9771,39.12672811,0.359447,52.740106,0.123159989636157,0.99778963979704,1.28381642065169
"Site 208",40.74037,-111.8169,39.91733639,15.63949483,795.1217,0.454420408859049,-2.42372677162624,-1.08759269407708
